name,err_msg,iterations,warmup_iterations,gpu_computation,gpu_blocks,threads_per_block,data_size_B,block_size_B,EC,lost_blocks,encode_time_ns,encode_time_ns_stddev,encode_throughput_Gbps,encode_throughput_Gbps_stddev,decode_time_ns,decode_time_ns_stddev,decode_throughput_Gbps,decode_throughput_Gbps_stddev
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",1,6635.36,183.066,316.242,6.70444,509.602,45.2756,4150.1,393.387
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",2,6648.76,214.437,315.674,7.90624,564.298,196.536,3860.61,652.685
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",4,6631.64,190.622,316.433,6.91454,683.484,106.6,3148.07,517.121
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",8,6636.91,187.31,316.18,6.99367,963.31,171.614,2240.95,395.249
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",16,6630.44,189.263,316.487,6.87991,1667.5,238.406,1279.84,162.953
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",32,6640.42,213.809,316.069,7.88331,2961.38,346.179,717.856,84.6245
"Xorec, AVX2",,500,500,0,0,0,262144,2048,"(192/128)",64,6632.83,166.696,316.329,6.03674,5348.66,525.334,395.62,36.4841
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(36/32)",0,13582.7,322.5,308.945,6.21639,85.29,9.03666,49435.1,2726.05
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(36/32)",1,13583.6,322.975,308.922,6.09306,2564.04,711.895,5831.77,15294.9
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(36/32)",2,13598.5,295.489,308.566,5.84993,5480.63,940.098,802.49,218.327
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(36/32)",4,13591.8,372.029,308.778,6.86592,9862.64,1952.84,447.246,113.733
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(40/32)",0,13325.8,294.894,314.883,5.97312,89.086,11.4226,47538.4,3702.08
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(40/32)",1,13454.8,213.373,311.801,4.30528,1059.91,604.214,17543.4,24347.2
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(40/32)",2,13427.2,249.39,312.466,5.03364,2340.27,1142.14,8819.49,17635.7
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(40/32)",4,13422.4,271.375,312.596,5.50214,4195.35,1503.35,1177.46,539.851
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(40/32)",8,13354.5,274.778,314.188,5.56769,9623.2,1511.17,448.456,82.8123
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(48/32)",0,14576.8,290.839,287.838,5.03158,95.644,15.2793,44501.6,4222.37
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(48/32)",1,13783.7,411.128,304.524,7.75263,514.564,321.579,20651.9,20119.8
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(48/32)",2,13767.7,292.682,304.77,5.75598,1466.67,375.655,3058.63,786.994
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(48/32)",4,13767.3,354.579,304.833,6.8681,2397.47,651.642,1877.45,480.175
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(48/32)",8,13812.2,181.672,303.716,3.77526,4214.57,1120.33,1074.85,311.199
"Xorec, AVX2",,500,500,0,0,0,524288,16384,"(48/32)",16,13717.9,386.347,305.961,7.419,8160.73,1274.1,526.169,79.5275
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(72/64)",0,13514.9,360.457,310.531,6.91768,245.092,11.8342,17148.6,743.877
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(72/64)",1,13493,310.342,310.986,5.91082,1458.61,291.094,3522.11,3258.06
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(72/64)",2,13512.7,331.406,310.556,6.4787,2431.41,799.033,2780.99,3928.46
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(72/64)",4,13520,339.123,310.394,6.53148,5245.65,990.572,839.348,215.443
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(72/64)",8,13528.1,300.511,310.176,5.91648,9887.85,1350.05,432.992,65.4185
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(80/64)",0,13264.8,509.234,316.519,8.49462,253.602,15.4936,16584,781.128
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(80/64)",1,13307.2,364.152,315.391,7.3082,810.5,159.253,5785.06,3138.49
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(80/64)",2,13323.5,292.701,314.933,5.84393,1256.98,493.739,5233.66,5165.63
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(80/64)",4,13303.6,398.793,315.484,7.05251,2708.65,657.55,1709.88,710.071
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(80/64)",8,13248.2,229.065,316.676,4.71652,4622.78,652.267,926.898,142.246
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(80/64)",16,13263.9,252.335,316.316,5.13189,9464.55,1269.98,451.381,62.2862
"Xorec, AVX2",,500,500,0,0,0,524288,8192,"(96/64)",0,13669,307.094,306.978,5.87803,283.988,31.4245,14930.1,1467.5
